City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,Nyurba,63.2842,118.3319,26.11,47,68,6.44,RU,1697176959
299,Machico,32.7,-16.7667,82.71,53,40,2.3,PT,1697176960
300,Castillos,-34.1667,-53.8333,40.37,85,2,3.51,UY,1697176960
301,East Ballina,-28.8667,153.5833,72.81,66,20,13.56,AU,1697176960
302,Keningau,5.3378,116.1602,84.31,75,57,3.98,MY,1697176961
303,Lijiang,26.8688,100.2207,61.59,72,100,3.8,CN,1697176961
304,West Bay,19.3667,-81.4167,85.05,79,79,1.99,KY,1697176961
305,Caucayá,-0.1934,-74.7819,74.26,84,62,1.5,CO,1697176961
306,St. John's,47.5649,-52.7093,54.16,99,100,4.61,CA,1697176961
307,Quellón,-43.1167,-73.6167,44.38,82,42,4.14,CL,1697176961
308,George Town,5.4112,100.3354,91.33,74,20,9.22,MY,1697176891
309,Gizo Government Station,-8.103,156.8419,82.11,77,92,7.23,SB,1697176961
310,Weno,7.4515,151.8468,84.33,72,82,5.41,FM,1697176961
311,Bin Yauri,10.7823,4.8114,77.22,81,90,3.38,NG,1697176962
312,Malpe,13.35,74.7167,87.1,74,87,5.23,IN,1697176962
313,Realicó,-35.0366,-64.2447,43.41,38,0,8.81,AR,1697176962
314,Baymak,52.5933,58.3225,38.75,51,99,22.48,RU,1697176962
315,Lamu,-2.2717,40.902,82.62,74,70,8.61,KE,1697176962
316,Yuzhno-Kurilsk,44.0306,145.8556,61.38,57,0,7.11,RU,1697176962
317,Richfield,44.8833,-93.283,47.68,93,100,19.57,US,1697176930
318,Port Douglas,-16.4833,145.4667,76.42,66,52,7.76,AU,1697176963
319,Ruteng,-8.6136,120.4721,73.65,61,64,1.25,ID,1697176963
320,Geiselhöring,48.8333,12.3833,57.25,87,91,3.56,DE,1697176963
321,Al ‘Arīsh,31.1316,33.7984,75.74,65,0,3.53,EG,1697176963
322,Itaituba,-4.2761,-55.9836,77.29,70,32,0.18,BR,1697176902
323,Gaalkacyo,6.7697,47.4308,83.37,61,23,8.79,SO,1697176963
324,Mweka,-4.85,21.5667,78.44,62,19,3.51,CD,1697176963
325,Hilo,19.7297,-155.09,76.28,96,8,1.01,US,1697176963
326,Ismailia,30.6043,32.2723,68.07,88,0,5.75,EG,1697176964
327,Port Moresby,-9.4431,147.1797,74.62,94,75,3.44,PG,1697176964
328,Merizo Village,13.2658,144.6691,80.58,94,100,16.51,GU,1697176964
329,Abalak,58.1286,68.5944,38.35,82,100,13.44,RU,1697176964
330,Puerto Deseado,-47.7503,-65.8938,46.53,66,3,6.6,AR,1697176964
331,Nova Xavantina,-14.6667,-52.35,80.49,57,21,3.67,BR,1697176964
332,Craig,40.5153,-107.5464,35.55,75,20,3.44,US,1697176964
333,Chakari,-18.0629,29.8925,85.1,23,57,8.43,ZW,1697176964
334,Rémire-Montjoly,4.9167,-52.2667,77.04,88,20,0.0,GF,1697176965
335,Muskegon,43.3,-86.1334,48.78,89,100,9.22,US,1697176965
336,Mariehamn,60.0973,19.9348,44.82,93,0,1.14,AX,1697176965
337,Bouna,9.2667,-3.0,73.31,91,65,1.59,CI,1697176965
338,Gilleleje,56.122,12.3106,51.12,79,67,1.01,DK,1697176965
339,Malé,4.1748,73.5089,87.75,70,40,14.97,MV,1697176810
340,Kattivākkam,13.2167,80.3167,89.08,71,100,7.72,IN,1697176965
341,Wauchope,-31.45,152.7333,69.96,40,0,7.0,AU,1697176966
342,Bryne,58.7354,5.6477,52.99,85,75,20.71,NO,1697176966
343,Bab Ezzouar,36.7262,3.1829,64.38,72,0,2.3,DZ,1697176966
344,Carutapera,-1.195,-46.02,75.99,93,38,5.97,BR,1697176966
345,Chibougamau,49.9168,-74.3659,42.42,93,75,4.61,CA,1697176934
346,Tofol,5.3248,163.0078,83.46,73,60,6.8,FM,1697176966
347,Chapada dos Guimarães,-15.4606,-55.7497,74.86,63,48,1.1,BR,1697176967
348,Sitia,35.2,26.0986,69.98,71,52,6.91,GR,1697176967
349,Katsuren-haebaru,26.3369,127.8719,82.78,58,75,10.36,JP,1697176967
350,Houghton,47.1219,-88.569,43.79,98,34,6.76,US,1697176967
351,Fort St. John,56.2499,-120.8529,44.49,81,20,10.36,CA,1697176967
